Rk,Player,Pos,Age,Team?,G,MP,WR,TS,FTr,3PAr,FG,2P,3P,eFG,FT,,
145,Wenyen Gabriel,PF,23,NOP,21,241,0.431,0.533,0.283,0.533,0.4,0.393,0.406,0.508,0.647,,
146,Anthony Edwards,SG,19,MIN,72,2314,0.319,0.523,0.225,0.429,0.417,0.483,0.329,0.488,0.776,,
147,Naz Reid,C,21,MIN,70,1347,0.319,0.599,0.286,0.299,0.523,0.597,0.351,0.576,0.693,,
148,Ricky Rubio,PG,30,MIN,68,1772,0.319,0.516,0.301,0.43,0.388,0.447,0.308,0.454,0.867,,
149,Jarred Vanderbilt,PF,21,MIN,64,1139,0.319,0.612,0.432,0.021,0.606,0.615,0.2,0.608,0.559,,
150,Jaden McDaniels,PF,20,MIN,63,1511,0.319,0.552,0.123,0.539,0.447,0.544,0.364,0.545,0.6,,
151,Josh Okogie,SG,22,MIN,59,1197,0.319,0.524,0.425,0.425,0.402,0.5,0.269,0.459,0.768,,
152,Juan Hernangómez,PF,25,MIN,52,900,0.319,0.549,0.324,0.562,0.435,0.573,0.327,0.527,0.619,,
153,Jordan McLaughlin,PG,24,MIN,51,938,0.319,0.502,0.124,0.38,0.413,0.447,0.359,0.481,0.767,,
154,Karl-Anthony Towns,C,25,MIN,50,1689,0.319,0.612,0.355,0.36,0.486,0.541,0.387,0.555,0.859,,
155,Jake Layman,SF,26,MIN,45,627,0.319,0.577,0.201,0.424,0.495,0.641,0.295,0.557,0.703,,
156,Jaylen Nowell,SG,21,MIN,42,759,0.319,0.528,0.164,0.448,0.424,0.497,0.333,0.499,0.818,,
157,D'Angelo Russell,PG,24,MIN,42,1196,0.319,0.555,0.229,0.475,0.431,0.471,0.387,0.523,0.765,,
158,Malik Beasley,SG,24,MIN,37,1214,0.319,0.57,0.133,0.535,0.44,0.487,0.399,0.547,0.85,,
159,Jarrett Culver,SG,21,MIN,34,499,0.319,0.476,0.286,0.316,0.411,0.487,0.245,0.449,0.604,,
160,Ed Davis,C,31,MIN,23,299,0.319,0.487,0.273,0,0.432,0.432,,0.432,0.833,,
161,Bryn Forbes,SG,27,MIL,70,1354,0.639,0.631,0.115,0.645,0.473,0.511,0.452,0.618,0.77,,
162,Brook Lopez,C,32,MIL,70,1902,0.639,0.611,0.222,0.439,0.503,0.632,0.338,0.577,0.845,,
163,Pat Connaughton,SG,28,MIL,69,1575,0.639,0.578,0.103,0.703,0.434,0.583,0.371,0.565,0.775,,
164,Khris Middleton,SF,29,MIL,68,2269,0.639,0.588,0.22,0.34,0.476,0.508,0.414,0.546,0.898,,
165,Donte DiVincenzo,SG,24,MIL,66,1814,0.639,0.542,0.118,0.574,0.42,0.475,0.379,0.528,0.718,,
